Wch U12,Menorca,1996.??.??,1,"Sakinis, Robertas","Inarkiev, Ernesto",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['Nge2', 'e6'], ['O-O', 'Nge7'], ['d3', 'O-O'], ['Be3', 'd6\n'], ['Qd2', 'Nd4'], ['Nd1', 'd5'], ['Nxd4', 'cxd4'], ['Bh6', 'e5'], ['Bxg7', 'Kxg7'], ['f4', 'dxe4'], ['dxe4', 'f6\n'], ['c3', 'Nc6'], ['Nf2', 'Be6'], ['a3', 'Na5'], ['Qc2', 'Bb3'], ['Qb1', 'Bc4'], ['Rd1', 'Nb3'], ['Ra2', 'Be2\n'], ['Re1', 'd3'], ['a4', 'a5'], ['Ra3', 'Qb6'], ['Bh1', 'Rad8'], ['Kg2', 'Bf3+'], ['Kg1', 'Bxh1'], ['Kxh1', 'Nd2\n'], ['Qc1', 'Qxf2'], ['Rg1', 'Nf3'], ['Rg2', 'd2']]",0-1
Sunway Sitges Open 2018,Sitges ESP,2018.12.14,1.3,"Inarkiev,E","Blasco Coll,A",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nd2', 'e6'], ['Nb3', 'Nd7'], ['Nf3', 'Ne7'], ['Be2', 'Nc8'], ['a4', 'a5'], ['O-O', 'Ncb6\n'], ['Ne1', 'Be7'], ['Bd3', 'Bxd3'], ['Nxd3', 'O-O'], ['Qg4', 'Kh8'], ['Re1', 'Qc7'], ['Re3', 'f5'], ['exf6', 'Nxf6\n'], ['Qh3', 'Ne4'], ['f3', 'Ng5'], ['Qg4', 'h6'], ['Ne5', 'Rf6'], ['Re2', 'Nf7'], ['Bf4', 'Bd6'], ['Nc5', 'h5\n'], ['Qxh5+', 'Kg8'], ['Bg3', 'Rf5'], ['Qg6', 'Rf6'], ['Nxe6', '']]",1-0
Sunway Sitges Open 2018,Sitges ESP,2018.12.15,2.2,"Duran Vega,S","Inarkiev,E",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Be3', 'c5'], ['Rc1', 'O-O\n'], ['Qd2', 'Qd6'], ['Nf3', 'Bg4'], ['Ne5', 'cxd4'], ['cxd4', 'Bxe5'], ['dxe5', 'Qxd2+'], ['Bxd2', 'Nd7'], ['Bb5', 'Nxe5\n'], ['Rc7', 'Rfd8'], ['Rxe7', 'Rac8'], ['f3', 'Be6'], ['Bg5', 'Rc5'], ['Rxb7', 'Nxf3+'], ['gxf3', 'Rxg5\n'], ['a4', 'Rg2'], ['Be2', 'Rd4'], ['Rxa7', 'Kg7'], ['h4', 'Bc4']]",0-1
Sunway Sitges Open 2018,Sitges ESP,2018.12.16,3.2,"Inarkiev,E","Alonso Rosell,A",,,C75,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'd6'], ['c3', 'Bd7'], ['O-O', 'g6'], ['d4', 'Bg7'], ['h3', 'Nf6'], ['Re1', 'O-O\n'], ['Bc2', 'Re8'], ['Nbd2', 'b5'], ['Nf1', 'Na5'], ['b3', 'c5'], ['d5', 'Nh5'], ['Bg5', 'Qc7'], ['Ng3', 'Nf4\n'], ['Qd2', 'Nb7'], ['Rac1', 'a5'], ['Bxf4', 'exf4'], ['Qxf4', 'Bxc3'], ['e5', 'Bxe5'], ['Nxe5', 'dxe5'], ['Qf6', 'Qd8\n'], ['Ne4', 'Bf5'], ['Qxd8', 'Rexd8'], ['Nf6+', 'Kg7'], ['Nh5+', 'gxh5'], ['Bxf5', 'Nd6'], ['Bb1', 'c4'], ['bxc4', 'bxc4\n'], ['Rxe5', 'Rab8'], ['Rxh5', 'Rb2'], ['Rxh7+', 'Kg8'], ['Rh5', 'Rdb8'], ['Rg5+', 'Kh8'], ['Bf5', 'Rxa2\n'], ['Bd7', 'a4'], ['Rd1', 'Rg8'], ['Re5', 'a3'], ['Re3', 'Rb8'], ['Rg3', 'Rb3'], ['Rg5', 'Rd3'], ['Re1', 'Rad2\n'], ['Ra1', 'Rb3'], ['Kh2', 'a2'], ['Re5', 'Rb1'], ['Re1', 'Rxe1'], ['Rxe1', 'c3'], ['Ra1', 'c2'], ['Ba4', 'Rd1']]",0-1
Sunway Sitges Open 2018,Sitges ESP,2018.12.17,4.14,"Meister,P","Inarkiev,E",,,E60,"[['d4', 'Nf6'], ['c4', 'g6'], ['f3', 'c5'], ['d5', 'd6'], ['e4', 'Bg7'], ['Ne2', 'e6'], ['Bg5', 'h6'], ['Be3', 'exd5'], ['cxd5', 'b5\n'], ['Ng3', 'Nfd7'], ['Qd2', 'b4'], ['a3', 'a5'], ['axb4', 'cxb4'], ['Ra2', 'Nc5'], ['Bb5+', 'Bd7'], ['Bxd7+', 'Nbxd7\n'], ['O-O', 'Qf6'], ['Rf2', 'O-O'], ['Ne2', 'Nb3'], ['Qd1', 'a4'], ['Nc1', 'Nxc1'], ['Qxc1', 'Ne5'], ['Qf1', 'Rfc8\n'], ['Nd2', 'Rc2'], ['Qb1', 'Rac8'], ['Nf1', 'b3'], ['Rxa4', 'Nd3'], ['Rd2', 'Nxb2'], ['Rb4', 'Qc3'], ['Rb6', 'Rc1\n'], ['Qxb2', 'Qxe3+']]",0-1
Sunway Sitges Open 2018,Sitges ESP,2018.12.18,5.8,"Inarkiev,E","Dragnev,Valentin",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['Bf4', 'd5'], ['e3', 'Bd6'], ['Nbd2', 'Bxf4'], ['exf4', 'O-O'], ['Bd3', 'b6'], ['Qe2', 'c5\n'], ['c3', 'Qd6'], ['g3', 'a5'], ['O-O', 'Nc6'], ['a3', 'Bd7'], ['Rad1', 'g6'], ['Kg2', 'Rfe8'], ['h4', 'Kg7'], ['Rh1', 'h5\n'], ['Bb1', 'Bc8'], ['Bd3', 'Bd7'], ['Rhe1', 'Rac8'], ['Bb1', 'cxd4'], ['cxd4', 'Rc7'], ['Bd3', 'Ne7'], ['Ne5', 'Ba4\n'], ['Rc1', 'Rec8'], ['Rxc7', 'Rxc7'], ['Nb1', 'Be8'], ['Nc3', 'Qd8'], ['f3', 'Nc8'], ['g4', 'Nd6'], ['f5', 'hxg4\n'], ['fxg4', 'exf5'], ['gxf5', 'Nde4'], ['Bxe4', 'dxe4'], ['Qe3', 'Nd5'], ['Qg3', 'e3'], ['Ng4', 'Nxc3'], ['bxc3', 'Rxc3\n'], ['Rxe3', 'Rxe3'], ['Qxe3', 'Qxh4'], ['Qe5+', 'f6'], ['Nxf6', 'Qxf6'], ['Qxe8', 'gxf5'], ['Kf3', 'Qf8\n'], ['Qe5+', 'Kg6'], ['a4', 'Qa3+'], ['Kf4', 'Qc1+'], ['Kg3', 'Qg1+'], ['Kf3', 'Qh1+'], ['Kg3', 'Qg1+'], ['Kf3', 'Qh1+\n'], ['Kg3', 'Qg1+']]",1/2-1/2
Sunway Sitges Open 2018,Sitges ESP,2018.12.19,6.9,"Santos Ruiz,Miguel","Inarkiev,E",,,A34,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nb4'], ['Bc4', 'Nd3+'], ['Ke2', 'Nf4+'], ['Kf1', 'Nd3\n'], ['Ke2', 'Nf4+'], ['Kf1', 'Nd3'], ['Ke2', 'Nf4+']]",1/2-1/2
Sunway Sitges Open 2018,Sitges ESP,2018.12.20,7.12,"Inarkiev,E","Di Nicolantonio,L",,,D30,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c6'], ['g3', 'dxc4'], ['Bg2', 'b5'], ['Ne5', 'Bb7'], ['a4', 'a6'], ['O-O', 'Nf6'], ['b3', 'cxb3\n'], ['Nc3', 'b4'], ['Ne4', 'Nxe4'], ['Bxe4', 'Ra7'], ['Be3', 'c5'], ['Bxb7', 'Rxb7'], ['dxc5', 'Qc7'], ['Bf4', 'Nc6\n'], ['Ng6', 'e5'], ['Nxh8', 'exf4'], ['Qxb3', 'g6'], ['Qc4', 'Bg7'], ['Nxf7', 'Qxf7'], ['Qe4+', 'Kf8'], ['Qxc6', 'Bxa1\n'], ['Rxa1', 'b3'], ['Qd6+', 'Kg8'], ['c6', 'b2'], ['Qd8+', 'Kg7'], ['Rb1', 'Qa2'], ['Qd4+', 'Kg8'], ['Qd8+', 'Kf7\n'], ['Kg2', 'Qxb1'], ['Qd5+', 'Kg7'], ['cxb7', 'Qc1'], ['b8=Q', '']]",1-0
Sunway Sitges Open 2018,Sitges ESP,2018.12.21,8.5,"Halkias,S","Inarkiev,E",,,D02,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'c6'], ['g3', 'Bf5'], ['Nc3', 'e6'], ['Nh4', 'dxc4'], ['Nxf5', 'exf5'], ['e3', 'Nbd7\n'], ['Qf3', 'g6'], ['Bxc4', 'Nb6'], ['Bb3', 'Bd6'], ['h3', 'h5'], ['Bd2', 'Qe7'], ['Kf1', 'Ne4'], ['Nxe4', 'fxe4\n'], ['Qe2', 'h4'], ['g4', 'O-O-O'], ['Rc1', 'Kb8'], ['Ba5', 'f5'], ['Bxb6', 'axb6'], ['Ke1', 'Rhf8'], ['gxf5', 'Rxf5\n'], ['Qg4', 'c5'], ['dxc5', 'Bxc5'], ['Rc2', 'Qd6'], ['Bc4', 'Bb4+'], ['Ke2', 'b5'], ['Qxe4', 'bxc4'], ['Qxc4', 'Rxf2+']]",0-1
Sunway Sitges Open 2018,Sitges ESP,2018.12.22,9.2,"Inarkiev,E","Ivanchuk,V",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Nc3', 'Nxc3'], ['dxc3', 'Be7'], ['Be3', 'O-O'], ['Qd2', 'Nc6\n'], ['O-O-O', 'Bf5'], ['h4', 'Qd7'], ['h5', 'h6'], ['Nh4', 'Bh7'], ['Kb1', 'Rae8'], ['Bd3', 'Bxd3'], ['Qxd3', 'Ne5\n'], ['Qd5', 'Bxh4'], ['Rxh4', 'b6'], ['c4', 'Re7'], ['b3', 'Rfe8'], ['Bc1', 'Ng4'], ['Qf3', 'Re4'], ['Qg3', 'Nf6\n'], ['Rdh1', 'Rxh4'], ['Rxh4', 'Re1'], ['Kb2', 'Ne4'], ['Qf4', 'Qe6'], ['Rh3', 'f5'], ['Rd3', 'Qf6+'], ['Ka3', 'a5\n'], ['Rd5', 'Nc3'], ['Rxf5', 'Nb1+'], ['Ka4', 'Nc3+']]",1/2-1/2
Sunway Sitges Open 2018,Sitges ESP,2018.12.23,10.3,"Liang,Awonder","Inarkiev,E",,,B51,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Nd7'], ['Ba4', 'Nf6'], ['O-O', 'e6'], ['Qe2', 'a6'], ['c3', 'b5'], ['Bc2', 'Bb7\n'], ['d4', 'Qc7'], ['a4', 'Be7'], ['e5', 'dxe5'], ['dxe5', 'Nd5'], ['axb5', 'axb5'], ['Rxa8+', 'Bxa8'], ['Qxb5', 'c4\n'], ['Nbd2', 'Nb6'], ['Re1', 'O-O'], ['Qa5', 'Bd5'], ['Qa1', 'h6'], ['Qb1', 'Ra8'], ['Be4', 'Bxe4'], ['Rxe4', 'Nc5\n'], ['Re2', 'Qd7'], ['Nd4', 'Qa4'], ['Re1', 'Nd3'], ['Rf1', 'Nd5'], ['b3', 'Qa1'], ['Qxa1', 'Rxa1'], ['bxc4', 'Nxc3\n'], ['N2b3', 'Ra4'], ['Be3', 'Rxc4'], ['Nf3', 'g5'], ['h3', 'Nd5'], ['Rd1', 'Rc3'], ['Nbd4', 'Nxe3'], ['fxe3', 'Bc5\n'], ['Kf1', 'Nb2'], ['Rb1', 'Nc4'], ['Rb8+', 'Kg7'], ['Rb7', 'Kg6'], ['g4', 'Bxd4']]",0-1
World Rapid 2018,St Petersburg RUS,2018.12.26,1.73,"Fakhrutdinov,Timur","Inarkiev,E",,,C58,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['Ng5', 'd5'], ['exd5', 'Na5'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Bd3', 'Nd5\n'], ['Nf3', 'Nf4'], ['O-O', 'Bd6'], ['Re1', 'Nxd3'], ['cxd3', 'O-O'], ['Nc3', 'c5'], ['b3', 'Re8'], ['Ne4', 'Ba6\n'], ['Qc2', 'Bf8'], ['Ba3', 'Rc8'], ['Qc3', 'f6'], ['Nxc5', 'Nb7'], ['b4', 'Nxc5'], ['bxc5', 'Qd5'], ['Qb3', 'Red8\n'], ['d4', 'exd4'], ['Rac1', 'Rb8'], ['Qxd5+', 'Rxd5'], ['Re6', 'Bc8'], ['Re4', 'd3'], ['h3', 'Kf7'], ['Ra4', 'a6\n'], ['Nd4', 'Bd7'], ['Rac4', 'Bb5'], ['Rb4', 'Ra8'], ['Nxb5', 'axb5'], ['Rb3', 'Rd4'], ['f3', 'Rc4'], ['Bb2', 'Bxc5+\n'], ['Kf1', 'Rxa2'], ['Rb1', 'Rb4'], ['Bc3', 'Rxb3'], ['Rxb3', 'b4'], ['Bb2', 'Ke6'], ['Ke1', 'Kd5'], ['Bc1', 'Kc4\n'], ['Rb1', 'Bd4']]",0-1
World Rapid 2018,St Petersburg RUS,2018.12.26,2.6,"Inarkiev,E","Karjakin,Sergey",,,D37,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Be7'], ['g3', 'O-O'], ['Bg2', 'dxc4'], ['Ne5', 'c5'], ['dxc5', 'Qxd1+\n'], ['Nxd1', 'Bxc5'], ['O-O', 'Nc6'], ['Nxc4', 'Nd5'], ['Bd2', 'Bd7'], ['Rc1', 'Rfc8'], ['Re1', 'f6'], ['Nc3', 'Nxc3\n'], ['Bxc3', 'e5'], ['Na5', 'Nxa5'], ['Bxa5', 'Rab8'], ['Bd5+', 'Kf8'], ['Rxc5', 'Rxc5'], ['Bb4', 'b6'], ['Rc1', 'Rc8\n'], ['Bxc5+', 'Rxc5'], ['Rxc5', 'bxc5'], ['Kf1', 'Ke7'], ['Ke1', 'Kd6'], ['Bg8', 'h6'], ['Kd2', 'Bb5'], ['e3', 'a5\n'], ['f4', 'exf4'], ['exf4', 'Bc6'], ['Bc4', '']]",1/2-1/2
World Rapid 2018,St Petersburg RUS,2018.12.26,3.20,"Giri,A","Inarkiev,E",,,C50,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d3', 'Bc5'], ['O-O', 'O-O'], ['c3', 'd5'], ['exd5', 'Nxd5'], ['Re1', 'Bg4\n'], ['Nbd2', 'Nb6'], ['h3', 'Bh5'], ['Bb3', 'Kh8'], ['Ne4', 'Bd6'], ['g4', 'Bg6'], ['d4', 'exd4'], ['Nxd4', 'Nxd4\n'], ['Qxd4', 'Be7'], ['Bf4', 'f5'], ['Qxd8', 'Raxd8'], ['Ng5', 'Nd5'], ['Bd2', 'Bxg5'], ['Bxg5', 'Nf6'], ['f3', 'h6\n'], ['Be3', 'Nd5'], ['Bc5', 'Rf7'], ['Rad1', 'Rfd7'], ['Bc2', 'b6'], ['Bd4', 'Ne7'], ['Bxg7+', 'Kxg7'], ['Rxe7+', 'Rxe7\n'], ['Rxd8', 'fxg4'], ['Bxg6', 'Kxg6'], ['Rg8+', 'Kf5'], ['Rxg4', 'Re1+'], ['Kh2', 'Rb1'], ['b4', 'b5'], ['Rh4', 'Rb2+\n'], ['Kg3', 'Rc2'], ['Rxh6', 'Rxc3'], ['Rh5+', 'Kf6'], ['Rxb5', 'Rc2'], ['a3', 'Rc6'], ['Rc5', 'Ra6'], ['Ra5', 'Rc6\n'], ['Rxa7', 'Rc3'], ['Ra5', 'Rd3'], ['h4', 'Rc3'], ['h5', 'Rd3'], ['Kg4', '']]",1-0
World Rapid 2018,St Petersburg RUS,2018.12.26,4.57,"Inarkiev,E","Petrov,N",,,A50,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nf3', 'd5'], ['g3', 'g6'], ['Nc3', 'Bg7'], ['Ne5', 'Be6'], ['Bg2', 'dxc4'], ['e4', 'Nbd7\n'], ['f4', 'Nxe5'], ['fxe5', 'Nd7'], ['O-O', 'Qb6'], ['Be3', 'Qxb2'], ['Qe1', 'O-O'], ['Rb1', 'Qa3'], ['Rxb7', 'Rab8\n'], ['Rc7', 'Nxe5'], ['dxe5', 'Bxe5'], ['Nd5', 'cxd5'], ['Rxa7', 'Qd6'], ['exd5', 'Bxd5'], ['Bxd5', 'Qxd5\n'], ['Rxe7', 'Rb2'], ['Bf2', 'Bd4'], ['Qe4', 'Bxf2+'], ['Rxf2', 'Qd1+'], ['Qe1', 'Qxe1+'], ['Rxe1', 'Rxf2\n'], ['Kxf2', 'Ra8'], ['Re2', 'Ra3'], ['Rc2', 'c3'], ['Ke3', 'Kg7'], ['Kd4', 'f5'], ['Kc4', 'Kf6'], ['Kb4', 'Ra8\n'], ['a4', 'g5'], ['Rxc3', 'f4'], ['gxf4', 'gxf4'], ['a5', 'Kf5'], ['Rc7', 'h5'], ['Rc5+', 'Kg4'], ['Rc4', 'Rb8+\n'], ['Ka4', 'Kf3'], ['a6', 'Ke3'], ['Rc3+', 'Ke2'], ['Rc5', 'f3'], ['Re5+', 'Kd3'], ['Rxh5', 'f2'], ['Rf5', 'Ke2\n'], ['Ka5', 'f1=Q'], ['Rxf1', 'Kxf1'], ['a7', 'Rh8'], ['Kb6', 'Rh6+'], ['Kb7', 'Rh7+'], ['Kb6', 'Rh6+']]",1/2-1/2
World Rapid 2018,St Petersburg RUS,2018.12.26,5.52,"Popov,Val","Inarkiev,E",,,D26,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'dxc4'], ['e3', 'e6'], ['Bxc4', 'c5'], ['O-O', 'Nc6'], ['Nc3', 'a6'], ['Qe2', 'b5\n'], ['Bb3', 'Bb7'], ['Rd1', 'Be7'], ['dxc5', 'Qc7'], ['e4', 'O-O'], ['Bg5', 'Rad8'], ['Rac1', 'Rxd1+'], ['Nxd1', 'Rd8\n'], ['e5', 'Nd7'], ['Bxe7', 'Nxe7'], ['Bc2', 'Nxc5'], ['Bxh7+', 'Kxh7'], ['b4', 'Bxf3'], ['gxf3', 'Rd5'], ['f4', 'Ng6\n'], ['Ne3', 'Rd4'], ['Rxc5', 'Qd7'], ['f5', 'exf5'], ['Qh5+', 'Kg8'], ['h3', 'Ne7'], ['a3', 'Rd3'], ['a4', 'bxa4\n'], ['Ra5', 'f4'], ['Ng2', 'Rxh3']]",0-1
World Rapid 2018,St Petersburg RUS,2018.12.27,6.30,"Inarkiev,E","Cheparinov,I",,,A18,"[['c4', 'e6'], ['Nc3', 'Nf6'], ['e4', 'd5'], ['cxd5', 'exd5'], ['e5', 'Ne4'], ['d4', 'Bb4'], ['Qa4+', 'Nc6'], ['Bb5', 'O-O\n'], ['Ne2', 'Nxd4'], ['Nxd4', 'c5'], ['Ne2', 'd4'], ['O-O', 'dxc3'], ['a3', 'Nd2'], ['axb4', 'Nxf1'], ['bxc3', 'a6\n'], ['Qc2', 'Bf5'], ['Qxf5', 'Qd1'], ['Bb2', 'Rfd8'], ['Nd4', 'Ne3+'], ['Rxd1', 'Nxf5'], ['Bd3', 'cxd4'], ['c4', 'Ne7\n'], ['f4', 'Rac8'], ['Kf2', 'b5'], ['cxb5', 'axb5'], ['Kf3', 'Nc6'], ['Bxb5', 'Nxb4'], ['Rxd4', 'Nc2'], ['Rd6', 'Rb8\n'], ['Rxd8+', 'Rxd8'], ['Bc4', 'Rb8'], ['e6', 'Rxb2'], ['exf7+', 'Kf8'], ['g4', 'Nd4+'], ['Ke4', 'Nc6'], ['g5', 'Rb4\n'], ['Kd5', 'Nd8'], ['Kd4', '']]",0-1
World Rapid 2018,St Petersburg RUS,2018.12.27,7.52,"Belozerov,A","Inarkiev,E",,,B51,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Nd7'], ['d4', 'cxd4'], ['Qxd4', 'a6'], ['Bxd7+', 'Bxd7'], ['c4', 'Nf6'], ['Bg5', 'e6\n'], ['Nc3', 'h6'], ['Bxf6', 'Qxf6'], ['Qxf6', 'gxf6'], ['a4', 'Rc8'], ['b3', 'Bg7'], ['Rc1', 'b5'], ['axb5', 'axb5\n'], ['Nd2', 'Ke7'], ['Ke2', 'bxc4'], ['bxc4', 'Rc5'], ['Kd3', 'f5'], ['Rhe1', 'Rhc8'], ['exf5', 'Rxf5'], ['Nd5+', 'Kd8\n'], ['Nb6', 'Rb8'], ['Nxd7', 'Kxd7'], ['f3', 'Ra5'], ['Rb1', 'Ra3+'], ['Ke2', 'Rc8'], ['Rb7+', 'Rc7'], ['Reb1', 'Bd4\n'], ['Rxc7+', 'Kxc7'], ['Rb3', 'Ra1'], ['Rb1', 'Ra3'], ['Rb3', 'Ra2'], ['Kd3', 'Bb6'], ['Rc3', 'Ba5'], ['Rc2', 'Ra3+\n'], ['Ke2', 'Kc6'], ['g4', 'Bxd2'], ['Rxd2', 'Kc5'], ['Rb2', 'Kxc4'], ['Rb7', 'd5'], ['Rxf7', 'Ra2+'], ['Ke1', 'Kd4\n'], ['h4', 'Ke3'], ['Kd1', 'd4'], ['Rd7', 'd3'], ['Kc1', 'd2+'], ['Kb1', 'Ra5']]",0-1
World Rapid 2018,St Petersburg RUS,2018.12.27,8.43,"Inarkiev,E","Christiansen,Johan-Sebastian",,,A21,"[['c4', 'e5'], ['Nc3', 'Bb4'], ['Nd5', 'Bc5'], ['e3', 'Nf6'], ['b4', 'Nxd5'], ['bxc5', 'Nf6'], ['Bb2', 'Qe7'], ['Nf3', 'Nc6\n'], ['d4', 'exd4'], ['Nxd4', 'Qxc5'], ['Nb5', 'O-O'], ['Bxf6', 'gxf6'], ['Qd5', 'Qb4+'], ['Qd2', 'Qe7'], ['Nc3', 'Kg7\n'], ['Nd5', 'Qe5'], ['Rd1', 'Ne7'], ['f4', 'Qd6'], ['Qc3', 'Re8'], ['Kf2', 'c6'], ['Nxe7', 'Qxe7'], ['g4', 'Kg8\n'], ['Rg1', 'd5'], ['cxd5', 'cxd5'], ['Rxd5', 'Be6'], ['Rh5', 'Rad8'], ['g5', 'Qd6'], ['gxf6+', 'Kh8'], ['Rg7', 'Bf5\n'], ['Rxf5', 'Qd1'], ['Be2', 'Rd2'], ['Qc4', '']]",1-0
World Rapid 2018,St Petersburg RUS,2018.12.27,9.21,"Anton Guijarro,D","Inarkiev,E",,,C59,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['Ng5', 'd5'], ['exd5', 'Na5'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Be2', 'h6\n'], ['Nh3', 'Bd6'], ['d3', 'O-O'], ['O-O', 'Bc7'], ['Nd2', 'Qd6'], ['Ne4', 'Nxe4'], ['dxe4', 'Qg6'], ['Qd3', 'f5\n'], ['Qg3', 'Qxg3'], ['hxg3', 'fxe4'], ['g4', 'Be6'], ['b3', 'Bb6'], ['Be3', 'Bd4'], ['Rac1', 'Rad8'], ['Rfd1', 'Nb7\n'], ['c3', 'Bb6'], ['Rxd8', 'Rxd8'], ['Rd1', 'Rd5'], ['g5', 'Kh7'], ['gxh6', 'gxh6'], ['c4', 'Rxd1+'], ['Bxd1', 'Nc5\n'], ['Bc2', 'Bf5'], ['f3', 'Bg6'], ['f4', 'Nxb3'], ['Bxb6', 'Na1'], ['Bxe4', 'Bxe4'], ['Bxa7', 'Kg6'], ['fxe5', 'Kf5\n'], ['Bb8', 'Bb1'], ['a4', 'Ba2'], ['g4+', 'Ke6'], ['Nf4+', 'Kf7'], ['c5', 'Nc2'], ['a5', 'Nb4'], ['Kf2', 'Bc4\n'], ['Kg3', 'Nd3'], ['Nxd3', 'Bxd3'], ['Kh4', 'Kg6'], ['Bc7', 'Bc4'], ['Bd6', 'Kg7'], ['Be7', 'Kg6'], ['Bf8', 'Kh7\n'], ['e6', 'Kg6'], ['e7', 'Kf7'], ['Kh5', 'Be2'], ['Kxh6', 'Bxg4'], ['a6', 'Bc8'], ['a7', 'Bb7'], ['Kg5', 'Ba8\n'], ['Kf5', 'Ke8']]",1-0
World Rapid 2018,St Petersburg RUS,2018.12.27,10.42,"Inarkiev,E","Ghaem Maghami,E",,,A18,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['e4', 'd5'], ['cxd5', 'exd5'], ['e5', 'Ne4'], ['d4', 'Bb4'], ['Qa4+', 'Nc6'], ['Bb5', 'Bd7\n'], ['Ne2', 'a6'], ['Bxc6', 'Bxc3+'], ['bxc3', 'Bxc6'], ['Qc2', 'Bb5'], ['f3', 'Ng5'], ['Ng3', 'Ne6'], ['h4', 'c5\n'], ['Nf5', 'O-O'], ['Bg5', 'Qd7'], ['a4', 'Bc4'], ['Rh3', 'cxd4'], ['cxd4', 'f6'], ['exf6', 'gxf6'], ['Bh6', 'Rfe8\n'], ['Kf2', 'Ng5'], ['hxg5', 'Re2+'], ['Qxe2', 'Bxe2'], ['Ne3', 'Bd3'], ['Ng4', 'Qc6'], ['Re1', 'Bf5'], ['Rg3', 'Bxg4\n'], ['gxf6', 'Kf7'], ['Rxg4', 'Re8'], ['Rc1', 'Qxa4'], ['Rc7+', 'Kxf6'], ['Kg3', 'Qb4'], ['Rxh7', 'a5'], ['Bf4', 'Qe1+\n'], ['Kh2', 'a4'], ['Bg3', 'Qd2'], ['Bh4+', 'Kf5'], ['Rf7+', 'Ke6'], ['Rxb7', 'Kd6'], ['Rg6+', 'Re6'], ['Rb6+', 'Kd7\n'], ['Rbxe6', 'Qf4+'], ['g3', 'Qd2+'], ['Kh3', '']]",1-0
World Rapid 2018,St Petersburg RUS,2018.12.28,11.22,"Akopian,Vl","Inarkiev,E",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['b3', 'b6'], ['Bb2', 'Bb7'], ['Qe2', 'Nc6'], ['g3', 'Nf6'], ['Bg2', 'd6'], ['O-O', 'e5'], ['Nc3', 'g6\n'], ['Nd5', 'Bg7'], ['c4', 'O-O'], ['d3', 'Bc8'], ['h3', 'Rb8'], ['Nh2', 'b5'], ['Rab1', 'bxc4'], ['bxc4', 'Nxd5\n'], ['exd5', 'Nd4'], ['Bxd4', 'Rxb1'], ['Rxb1', 'exd4'], ['Qd2', 'Qc7'], ['h4', 'Bf5'], ['g4', 'Bd7'], ['g5', 'Rb8\n'], ['Rb3', 'Rxb3'], ['axb3', 'Qb6'], ['Qd1', 'Qb4'], ['Bf3', 'h5'], ['gxh6', 'Bxh6'], ['Bg4', 'Be8'], ['h5', 'f5\n'], ['Bh3', 'gxh5'], ['Bxf5', 'Qd2'], ['Qf3', 'Qg5+'], ['Kf1', 'Kg7'], ['Qh3', 'Qc1+'], ['Kg2', 'Qg5+'], ['Kf1', 'Qc1+\n'], ['Kg2', 'Qf4'], ['Nf1', 'Bg5'], ['Be4', 'Bh4'], ['Ng3', 'Bxg3'], ['fxg3', 'Qd2+'], ['Kg1', 'Qg5'], ['Kh2', 'Qe5\n'], ['Kg2', 'Bg6'], ['Qd7+', 'Kh6'], ['Bxg6', 'Kxg6'], ['Kh3', 'a5'], ['Qc8', 'Qf6'], ['Qe8+', 'Kh6'], ['Qe4', 'Kg7\n'], ['Kg2', 'Qf7'], ['Qh4', 'Kg6'], ['g4', 'hxg4'], ['Qxg4+', 'Kh7'], ['Qh4+', 'Kg7'], ['Qg4+', 'Kh6'], ['Qh4+', 'Qh5\n'], ['Kg3', 'Kg6'], ['Qxh5+', 'Kxh5'], ['Kf4', 'Kg6'], ['Kg4', 'Kf6'], ['Kf4', '']]",1/2-1/2
